tconst	title	Date	Rank	Gross	%YD	%LW	Theaters	Per Theater	Total Gross	Days
tt2395427	Avengers: Age of Ultron	Apr 30, 2015	P	$27,600,000			0		$27,600,000	
tt2395427	Avengers: Age of Ultron	May 1, 2015	1	$84,424,532			4,276	$19,744	$84,424,532	1
tt2395427	Avengers: Age of Ultron	May 2, 2015	1	$56,526,635	-33%		4,276	$13,220	$140,951,167	2
tt2395427	Avengers: Age of Ultron	May 3, 2015	1	$50,319,942	-11%		4,276	$11,768	$191,271,109	3
tt2395427	Avengers: Age of Ultron	May 4, 2015	1	$13,228,555	-74%		4,276	$3,094	$204,499,664	4
tt2395427	Avengers: Age of Ultron	May 5, 2015	1	$13,132,812	-1%		4,276	$3,071	$217,632,476	5
tt2395427	Avengers: Age of Ultron	May 6, 2015	1	$9,409,838	-28%		4,276	$2,201	$227,042,314	6
tt2395427	Avengers: Age of Ultron	May 7, 2015	1	$8,613,154	-8%		4,276	$2,014	$235,655,468	7
tt2395427	Avengers: Age of Ultron	May 8, 2015	1	$21,232,362	1.47	-75%	4,276	$4,965	$256,887,830	8
tt2395427	Avengers: Age of Ultron	May 9, 2015	1	$33,835,656	0.59	-40%	4,276	$7,913	$290,723,486	9
tt2395427	Avengers: Age of Ultron	May 10, 2015	1	$22,678,911	-33%	-55%	4,276	$5,304	$313,402,397	10
tt2395427	Avengers: Age of Ultron	May 11, 2015	1	$5,398,779	-76%	-59%	4,276	$1,263	$318,801,176	11
tt2395427	Avengers: Age of Ultron	May 12, 2015	1	$5,990,413	0.11	-54%	4,276	$1,401	$324,791,589	12
tt2395427	Avengers: Age of Ultron	May 13, 2015	1	$4,342,154	-28%	-54%	4,276	$1,015	$329,133,743	13
tt2395427	Avengers: Age of Ultron	May 14, 2015	1	$4,037,065	-7%	-53%	4,276	$944	$333,170,808	14
tt2395427	Avengers: Age of Ultron	May 15, 2015	3	$10,019,125	1.48	-53%	4,276	$2,343	$343,189,933	15
tt2395427	Avengers: Age of Ultron	May 16, 2015	2	$17,204,358	0.72	-49%	4,276	$4,023	$360,394,291	16
tt2395427	Avengers: Age of Ultron	May 17, 2015	3	$11,636,417	-32%	-49%	4,276	$2,721	$372,030,708	17
tt2395427	Avengers: Age of Ultron	May 18, 2015	3	$3,435,547	-70%	-36%	4,276	$803	$375,466,255	18
tt2395427	Avengers: Age of Ultron	May 19, 2015	3	$3,020,580	-12%	-50%	4,276	$706	$378,486,835	19
tt2395427	Avengers: Age of Ultron	May 20, 2015	3	$2,329,898	-23%	-46%	4,276	$545	$380,816,733	20
tt2395427	Avengers: Age of Ultron	May 21, 2015	3	$2,353,746	0.01	-42%	4,276	$550	$383,170,479	21
tt2395427	Avengers: Age of Ultron	May 22, 2015	5	$5,356,424	1.28	-47%	3,727	$1,437	$388,526,903	22
tt2395427	Avengers: Age of Ultron	May 23, 2015	4	$8,286,236	0.55	-52%	3,727	$2,223	$396,813,139	23
tt2395427	Avengers: Age of Ultron	May 24, 2015	4	$8,049,037	-3%	-31%	3,727	$2,160	$404,862,176	24
tt2395427	Avengers: Age of Ultron	May 25, 2015	4	$6,507,209	-19%	0.89	3,727	$1,746	$411,369,385	25
tt2395427	Avengers: Age of Ultron	May 26, 2015	4	$1,949,182	-70%	-35%	3,727	$523	$413,318,567	26
tt2395427	Avengers: Age of Ultron	May 27, 2015	4	$1,429,415	-27%	-39%	3,727	$384	$414,747,982	27
tt2395427	Avengers: Age of Ultron	May 28, 2015	4	$1,402,043	-2%	-40%	3,727	$376	$416,150,025	28
tt2395427	Avengers: Age of Ultron	May 29, 2015	6	$2,883,572	1.06	-46%	3,228	$893	$419,033,597	29
tt2395427	Avengers: Age of Ultron	May 30, 2015	5	$4,917,855	0.71	-41%	3,228	$1,523	$423,951,452	30
tt2395427	Avengers: Age of Ultron	May 31, 2015	5	$3,599,975	-27%	-55%	3,228	$1,115	$427,551,427	31
tt2395427	Avengers: Age of Ultron	Jun 1, 2015	5	$1,082,288	-70%	-83%	3,228	$335	$428,633,715	32
tt2395427	Avengers: Age of Ultron	Jun 2, 2015	5	$1,261,068	0.17	-35%	3,228	$391	$429,894,783	33
tt2395427	Avengers: Age of Ultron	Jun 3, 2015	6	$973,884	-23%	-32%	3,130	$311	$430,868,667	34
tt2395427	Avengers: Age of Ultron	Jun 4, 2015	6	$945,229	-3%	-33%	3,130	$302	$431,813,896	35
tt2395427	Avengers: Age of Ultron	Jun 5, 2015	8	$1,842,660	0.95	-36%	2,471	$746	$433,656,556	36
tt2395427	Avengers: Age of Ultron	Jun 6, 2015	8	$2,656,411	0.44	-46%	2,471	$1,075	$436,312,967	37
tt2395427	Avengers: Age of Ultron	Jun 7, 2015	8	$1,840,592	-31%	-49%	2,471	$745	$438,153,559	38
tt2395427	Avengers: Age of Ultron	Jun 8, 2015	8	$747,554	-59%	-31%	2,471	$303	$438,901,113	39
tt2395427	Avengers: Age of Ultron	Jun 9, 2015	8	$851,565	0.14	-32%	2,471	$345	$439,752,678	40
tt2395427	Avengers: Age of Ultron	Jun 10, 2015	8	$718,865	-16%	-26%	2,471	$291	$440,471,543	41
tt2395427	Avengers: Age of Ultron	Jun 11, 2015	8	$630,675	-12%	-33%	2,471	$255	$441,102,218	42
tt2395427	Avengers: Age of Ultron	Jun 12, 2015	9	$1,064,656	0.69	-42%	2,156	$494	$442,166,874	43
tt2395427	Avengers: Age of Ultron	Jun 13, 2015	8	$1,522,453	0.43	-43%	2,156	$706	$443,689,327	44
tt2395427	Avengers: Age of Ultron	Jun 14, 2015	8	$1,087,948	-29%	-41%	2,156	$505	$444,777,275	45
tt2395427	Avengers: Age of Ultron	Jun 15, 2015	9	$451,436	-59%	-40%	2,156	$209	$445,228,711	46
tt2395427	Avengers: Age of Ultron	Jun 16, 2015	9	$502,192	0.11	-41%	2,156	$233	$445,730,903	47
tt2395427	Avengers: Age of Ultron	Jun 17, 2015	9	$442,554	-12%	-38%	2,156	$205	$446,173,457	48
tt2395427	Avengers: Age of Ultron	Jun 18, 2015	9	$426,496	-4%	-32%	2,156	$198	$446,599,953	49
tt2395427	Avengers: Age of Ultron	Jun 19, 2015	9	$734,327	0.72	-31%	1,662	$442	$447,334,280	50
tt2395427	Avengers: Age of Ultron	Jun 20, 2015	9	$1,041,234	0.42	-32%	1,662	$626	$448,375,514	51
tt2395427	Avengers: Age of Ultron	Jun 21, 2015	7	$1,071,843	0.03	-1%	1,662	$645	$449,447,357	52
tt2395427	Avengers: Age of Ultron	Jun 22, 2015	9	$325,340	-70%	-28%	1,662	$196	$449,772,697	53
tt2395427	Avengers: Age of Ultron	Jun 23, 2015	9	$390,085	0.2	-22%	1,662	$235	$450,162,782	54
tt2395427	Avengers: Age of Ultron	Jun 24, 2015	9	$316,379	-19%	-29%	1,662	$190	$450,479,161	55
tt2395427	Avengers: Age of Ultron	Jun 25, 2015	9	$306,094	-3%	-28%	1,662	$184	$450,785,255	56
tt2395427	Avengers: Age of Ultron	Jun 26, 2015	9	$482,413	0.58	-34%	1,097	$440	$451,267,668	57
tt2395427	Avengers: Age of Ultron	Jun 27, 2015	10	$703,101	0.46	-32%	1,097	$641	$451,970,769	58
tt2395427	Avengers: Age of Ultron	Jun 28, 2015	10	$503,424	-28%	-53%	1,097	$459	$452,474,193	59
tt2395427	Avengers: Age of Ultron	Jun 29, 2015	9	$248,127	-51%	-24%	1,097	$226	$452,722,320	60
tt2395427	Avengers: Age of Ultron	Jun 30, 2015	10	$240,934	-3%	-38%	1,097	$220	$452,963,254	61
tt2395427	Avengers: Age of Ultron	Jul 1, 2015	12	$162,998	-32%	-48%	644	$253	$453,126,252	62
tt2395427	Avengers: Age of Ultron	Jul 2, 2015	11	$219,026	0.34	-28%	644	$340	$453,345,278	63
tt2395427	Avengers: Age of Ultron	Jul 3, 2015	12	$363,583	0.66	-25%	589	$617	$453,708,861	64
tt2395427	Avengers: Age of Ultron	Jul 4, 2015	12	$269,388	-26%	-62%	589	$457	$453,978,249	65
tt2395427	Avengers: Age of Ultron	Jul 5, 2015	12	$253,181	-6%	-50%	589	$430	$454,231,430	66
tt2395427	Avengers: Age of Ultron	Jul 6, 2015	12	$140,338	-45%	-43%	589	$238	$454,371,768	67
tt2395427	Avengers: Age of Ultron	Jul 7, 2015	12	$155,118	0.11	-36%	589	$263	$454,526,886	68
tt2395427	Avengers: Age of Ultron	Jul 8, 2015	12	$136,103	-12%	-17%	589	$231	$454,662,989	69
tt2395427	Avengers: Age of Ultron	Jul 9, 2015	12	$120,094	-12%	-45%	589	$204	$454,783,083	70
tt2395427	Avengers: Age of Ultron	Jul 10, 2015	-	$128,301	0.07	-65%	338	$380	$454,911,384	71
tt2395427	Avengers: Age of Ultron	Jul 11, 2015	-	$185,695	0.45	-31%	338	$549	$455,097,079	72
tt2395427	Avengers: Age of Ultron	Jul 12, 2015	-	$141,768	-24%	-44%	338	$419	$455,238,847	73
tt2395427	Avengers: Age of Ultron	Jul 13, 2015	-	$69,841	-51%	-50%	338	$207	$455,308,688	74
tt2395427	Avengers: Age of Ultron	Jul 14, 2015	-	$83,314	0.19	-46%	338	$246	$455,392,002	75
tt2395427	Avengers: Age of Ultron	Jul 15, 2015	-	$74,545	-11%	-45%	338	$221	$455,466,547	76
tt2395427	Avengers: Age of Ultron	Jul 16, 2015	-	$63,821	-14%	-47%	338	$189	$455,530,368	77
tt2395427	Avengers: Age of Ultron	Jul 17, 2015	14	$468,050	6.33	2.65	292	$1,603	$455,998,418	78